varname,groupname,is_derived,adjfactor_type,delay_0,dimensions,value_type,coverage,update_frequency,empty_value,lower_bound,upper_bound,units,data_types,author,birthday,num_comments,description
barra_med_exposure_liquidty,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.01,1.4,,Risk,hwang|xzhang,20181219.0,0,Describes the return differences of stocks based on their relative trading activity
barra_med_exposure_ltrevrsl,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.27,2.01,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Leisure Products Textiles Apparel and Luxury
barra_med_exposure_media,GROUP_barra_med_exposure,0,,0,2D,single,312.0,1.012,,-0.15,0.41,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Media
barra_med_exposure_mgdhlth,GROUP_barra_med_exposure,0,,0,2D,single,241.0,1.0160642570281124,,-0.0,0.5,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Managed Health Care
barra_med_exposure_mgmtqlty,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.71,0.96,,Risk,hwang|xzhang,20181219.0,0,Measures the tendency of management to pursue  Ã‹Å“empire' building and overinvest and management views on when stock is over/under-priced
barra_med_exposure_midcap,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.7,0.84,,Risk,hwang|xzhang,20181219.0,0,Captures the returns of mid-cap stocks relative to large- and small-cap stocks
barra_med_exposure_momentum,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-2.0,2.09,,Risk,hwang|xzhang,20181219.0,0,Explains the return differences of stocks based on their relative performance over the trailing 6-12 months
barra_med_exposure_multutil,GROUP_barra_med_exposure,0,,0,2D,single,294.0,1.0150251355070632,,-0.0,0.29,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Multi-Utilities Water Utilities Power
barra_med_exposure_oilgscon,GROUP_barra_med_exposure,0,,0,2D,single,323.0,1.012,,-0.01,1.25,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Oil Gas and Consumable Fuels
barra_med_exposure_oilgsdrl,GROUP_barra_med_exposure,0,,0,2D,single,98.0,1.0253164556962024,,-0.0,0.29,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Oil and Gas Drilling
barra_med_exposure_oilgseqp,GROUP_barra_med_exposure,0,,0,2D,single,261.0,1.0160642570281124,,-0.01,0.72,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Oil and Gas Equipment and Services
barra_med_exposure_oilgsexp,GROUP_barra_med_exposure,0,,0,2D,single,294.0,1.0082575680185242,,-0.02,0.87,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Oil and Gas Exploration and Production
barra_med_exposure_paper,GROUP_barra_med_exposure,0,,0,2D,single,247.0,1.1048034934497817,,-0.0,0.06,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Paper and Forest Products
barra_med_exposure_pharma,GROUP_barra_med_exposure,0,,0,2D,single,311.0,1.012,,-0.04,0.95,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Pharmaceuticals
barra_med_exposure_precmtls,GROUP_barra_med_exposure,0,,0,2D,single,256.0,1.016129294505959,,-0.0,0.36,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Precious Metals Gold Mining
barra_med_exposure_profit,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.87,1.23,,Risk,hwang|xzhang,20181219.0,0,Measures profitability and operating efficiency of a company
barra_med_exposure_prospect,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-0.8,1.44,,Risk,hwang|xzhang,20181219.0,0,Captures risk related to stocks that have exhibited lottery-like behavior using a combination of stock return skewness over a long horizon and tail returns over the recent period
barra_med_exposure_psnlprod,GROUP_barra_med_exposure,0,,0,2D,single,287.0,1.012,,-0.01,0.27,,Risk,hwang|xzhang,20181219.0,0,
barra_med_exposure_realest,GROUP_barra_med_exposure,0,,0,2D,single,321.0,1.012,,-0.05,1.02,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Real Estate
barra_med_exposure_regmom,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-2.56,2.18,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Captures momentum in stock-regional performance
barra_med_exposure_restaur,GROUP_barra_med_exposure,0,,0,2D,single,280.0,1.0160642570281124,,-0.03,0.32,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Restaurants
barra_med_exposure_resvol,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.01,1.86,,Risk,hwang|xzhang,20181219.0,0,Explains returns associated with high-volatility stocks that are not captured by the beta factor
barra_med_exposure_roadrail,GROUP_barra_med_exposure,0,,0,2D,single,291.0,1.0160642570281124,,-0.05,0.54,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Road and Rail
barra_med_exposure_semicond,GROUP_barra_med_exposure,0,,0,2D,single,308.0,1.0079681274900398,,-0.47,0.99,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Semiconductors
barra_med_exposure_semieqp,GROUP_barra_med_exposure,0,,0,2D,single,253.0,1.012,,-0.09,0.31,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Semiconductor Equipment
barra_med_exposure_sentmt,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-1.45,1.78,,Risk,hwang|xzhang,20181219.0,0,Explains the return differences between stocks based on sell-side analyst revisions and news sentiment
barra_med_exposure_shortint,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-0.5,2.2,,Risk,hwang|xzhang,20181219.0,0,Explains return differences of stocks based on short interest as a percent of total available to short
barra_med_exposure_size,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-3.28,0.83,,Risk,hwang|xzhang,20181219.0,0,Captures the return differences between large-cap stocks and small-cap stocks
barra_med_exposure_software,GROUP_barra_med_exposure,0,,0,2D,single,336.0,1.0079681274900398,,-0.88,0.96,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Software
barra_med_exposure_spltyret,GROUP_barra_med_exposure,0,,0,2D,single,315.0,1.012,,-0.01,0.24,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Specialty Retail
barra_med_exposure_sptychem,GROUP_barra_med_exposure,0,,0,2D,single,309.0,1.0160642570281124,,-0.01,0.24,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Specialty Chemicals
barra_med_exposure_sptystor,GROUP_barra_med_exposure,0,,0,2D,single,236.0,1.0242914979757085,,-0.02,0.09,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Defense & Aerospace
barra_med_exposure_telecom,GROUP_barra_med_exposure,0,,0,2D,single,246.0,1.0160642570281124,,-0.01,0.23,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Diversified Telecommunication Services
barra_med_exposure_tradeco,GROUP_barra_med_exposure,0,,0,2D,single,335.0,1.0201612903225807,,-0.01,0.19,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Trading Companies and Distributors
barra_med_exposure_transprt,GROUP_barra_med_exposure,0,,0,2D,single,295.0,1.0160642570281124,,-0.01,0.31,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Transportation Air Freight and Marine
barra_med_exposure_value,GROUP_barra_med_exposure,0,,0,2D,single,454.0,1.0079681274900398,,-0.49,2.44,,Risk,hwang|xzhang,20181219.0,0,Captures the extent to which a company is overpriced or underpriced
barra_med_exposure_wireless,GROUP_barra_med_exposure,0,,0,2D,single,247.0,1.0242914979757085,,-0.05,0.1,,Risk,hwang|xzhang,20181219.0,0,Barra industry exposure for Wireless Telecommunication Services
barra_med_FactorNameMap,GROUP_barra_med_facret,0,,0,PMap,containers.Map,,,,NaN,NaN,Not Exist,Risk,jzhu,20200319.0,0,Barra factor name map
bbg_1M_SHORT_INT_VAL,GROUP_bbg_PricingEOD2,0,CAX_ADJ_MUL_D1,0,2D,single,497.0,15.666667,,0.0,4.37e+8,,Technical,ctseng,,0,Number of short positions as of a specific settlement date for that month.
bbg_45_DAY_HIGH,GROUP_bbg_PricingIntra2,0,CAX_ADJ_DIV_D1,0,2D,single,499.0,6.30137,,2.3,484.23,,Technical,ctseng,,0,Highest price at which the security traded during the past 45 business days.
bbg_45_DAY_LOW,GROUP_bbg_PricingIntra2,0,CAX_ADJ_DIV_D1,0,2D,single,499.0,7.419355,,0.71,357.8,,Technical,ctseng,,0,Lowest price at which the security traded during the past 45 business days.
bbg_ADJUSTED_PREV_LAST_PRICE,GROUP_bbg_PricingEOD2,0,CAX_ADJ_DIV_D1,0,2D,single,499.0,1.666667,,0.88,438.4,,Technical,ctseng,,0,Last price from the most recent day the security priced. For equities this previous last price is always adjusted for cash dividends. This field ignores the user's default setting for price corporate action adjustments. The price is adjusted by splits and other corporate actions.
bbg_ALPHA_OVERRIDABLE,GROUP_bbg_DerivedIntra,0,,0,2D,single,497.0,2.291609,,-335.36,246.12,,Technical,ctseng,,0,"Alpha indicates whether a stock is undervalued or overvalued in relation to other stocks with similar systematic risk. This value is derived from the calculation of adjusted beta (RK394) using parameters from fields RK390, RK391, RK392 and RK393. This field requires a minimum of 3 data points for it to work."
bbg_ASK_SIZE_CR,GROUP_bbg_PricingIntra2,0,CAX_ADJ_MUL_D1,0,2D,single,499.0,1.666667,,1.0,19692.0,,Technical,ctseng,,0,The number of shares/contracts offered in the market at the best ask level. If the market is closed then it is the number of shares offered from the last day the market was open. If the market is open and there is no ask in the market then no ask size will be returned.
bbg_AVERAGE_BID_ASK_SPREAD_PERCENT,GROUP_bbg_DerivedEOD,0,,0,2D,single,499.0,1.666667,,0.0,138.06,,Technical,ctseng,,0,"Average of all bid/ask spreads taken as a percentage of the mid price. The bid/ask points used for the computation correspond to the quotes received for the period indicated by Calc Interval (PX393, CALC_INTERVAL) (default value is five days) ending in the complete trading day prior to the date indicated by End Date Override (PX392, END_DATE_OVERRIDE) (default value is latest completed trading day). For a trading day to contribute to the calculation, there should be at least ten valid bid/ask spread points on that day. The field returns values only if more than 50% of trading days in the period are eligible to contribute to the calculation. The Calc Interval (PX393, CALC_INTERVAL) override will only support periods from one day (1D) up to 30 days (30D)."
bbg_AVG_DAILY_VALUE_TRADED_20D,GROUP_bbg_DerivedEOD2,0,,0,2D,single,499.0,1.666667,,313953.78,4.18e+10,,Technical,ctseng,,0,The average daily value traded for the past 20 trading days.
bbg_AVG_DAILY_VALUE_TRADED_3M,GROUP_bbg_DerivedEOD2,0,,0,2D,single,499.0,1.666667,,1.07e+6,3.05e+10,,Technical,ctseng,,0,The average daily value traded for the past 3 trading months.
bbg_AVG_DAILY_VALUE_TRADED_5D,GROUP_bbg_DerivedEOD2,0,,0,2D,single,499.0,1.666667,,24298.96,7.14e+10,,Technical,ctseng,,0,The average daily value traded for the past 5 trading days.
bbg_AVG_DAILY_VALUE_TRADED_6M,GROUP_bbg_DerivedEOD2,0,,0,2D,single,499.0,1.666667,,828136.81,2.97e+10,,Technical,ctseng,,0,The average daily value traded for the past 6 trading months.
bbg_AVG_TOTAL_CALL_WRT_TURNOVER,GROUP_bbg_DerivedEOD,0,,0,2D,single,11.0,19.130435,,0.0,1.22e+7,,Technical,ctseng,,0,Simple average over five trading days of the total value of all call warrants traded in a particular day for a single underlying equity or index.
bbg_AVG_TOTAL_CALL_WRT_VOL,GROUP_bbg_DerivedEOD,0,CAX_ADJ_MUL_D1,0,2D,single,11.0,21.153846,,0.0,6.23e+7,,Technical,ctseng,,0,Five day average of number of call warrants traded for a single underlying equity or index.
bbg_AVG_TOTAL_PUT_WRT_TURNOVER,GROUP_bbg_DerivedEOD,0,,0,2D,single,1.0,11.980892,,0.0,1.33e+7,,Technical,ctseng,,0,Simple daily average over five trading days of the total value of all put warrants traded for a single underlying equity or index.
bbg_AVG_TOTAL_PUT_WRT_VOL,GROUP_bbg_DerivedEOD,0,CAX_ADJ_MUL_D1,0,2D,single,1.0,12.137223,,0.0,1.32e+7,,Technical,ctseng,,0,Five day average of number of put warrants traded for a single underlying equity or index.
bbg_AVG_TOTAL_WRT_TURNOVER,GROUP_bbg_DerivedEOD,0,,0,2D,single,11.0,19.130435,,0.0,1.81e+7,,Technical,ctseng,,0,Simple daily average over five trading days of the total value of all warrants traded for a single underlying equity or index.
bbg_AVG_TOTAL_WRT_VOL,GROUP_bbg_DerivedEOD,0,CAX_ADJ_MUL_D1,0,2D,single,11.0,21.153846,,0.0,6.68e+7,,Technical,ctseng,,0,Five day average of number of warrants traded for a single underlying equity or index.
bbg_BB_SCORE,GROUP_bbg_DerivedEOD2,0,,0,2D,single,499.0,1.666667,,6.88,69.88,,Technical,ctseng,,0,"A real number between 0 and 100 which is determined via a Bloomberg proprietary formula based on the results of other studies (i.e. - abnormal volume patterns, abnormal price patterns, performance deviation from a sector, 52 week hi/low, opening price gaps). The higher the value, the greater the indication that the stock should be watched."
