Operator,# Args,Tags,Type,Authors,BDay,Description
"ywu_ts_macd(close, fastperiod=12, slowperiod=26, signalperiod=9)",Unary,"Technical, Time series",global,ywu,20190917,This operator calculates Moving Average Convergence/Divergence (MACD).
"ywu_ts_stoch(high, low, close, fastk_period=5, slowk_period=3, slowd_period=3)",,"Technical, Time series",global,ywu,20190917,This operator calculates Stochastic Oscillator (STOCH).
"syuan_ts_ols(x, y, days, out, norm_x=False, norm_y=False)",Binary,"Regression, Time series",global,syuan,20191021,Conduct time series one-variable regression.
"tsingh_ssrivastava_ts_zscore_exp_perstock(input, days, weights)",Binary,Time series,global,tsingh,20201030,Compute exponentially weighted time-series zscore using different weight per stock per day
"tsingh_ssrivastava_ts_mean_exp_perstock(input, days, weights)",Binary,Time series,global,"tsingh, ssrivastava, tsingh",20220627,Compute exponentially weighted time-series mean using different weight per stock per day
"tsingh_ssrivastava_ts_corr_binary_exp_perstock(input1, input2, days, weights)",Ternary,Time series,global,tsingh,20201030,Compute exponentially weighted time-series correlation between two variables using different weight per stock per day
"ssrivastava_tsingh_neut_avg(input, days, factors=None)",Unary,"Relative value, Post processing",global,ssrivastava,20201117,"Compute factor neutralized version of input with one default factor being ts_mean(input, days). More factors can be added using factors=[factor1, factor2, ...]"
"hgupta_pp_none_doubleneut(input, universe, neut_group1, neut_group2, poslimit)",,,global,hgupta,20210616,Operator used to neutralize an input variable based on a unique matrix derived from two different groups eg industry and revere_hierarchy_50_all
"hgupta_post_earnings(input, days, earnvar)",,,global,hgupta,20210616,Operator used to bet on an input variable after earning announcement.
"hgupta_kkumar_ts_cmo(close, 21)",,,global,,,This operator calculates the Chande Momentum Oscillator (CMO) of the input variable in the specified lookback window.
"kkumar_pgupta52_szhou_sujayv25_tpradhan_ts_ols(features_list, target, valids, rebalance_var=None, lookback=252)",,,global,kkumar,20210621,Operator used to compute the least-squares solution to a linear matrix equation.
"pvardhan_kp_ne_mm_jh_ts_linear_regress(feature, target, lookback=20)",,,global,pvardhan,20210708,Operator used to bet on predicted target after stock wise univariate regression
"jzhu_factor_prediction(factor, ret1, lookback)",,,global,jzhu,20210708,This operator calculates the factor return for the input variable and use the factor return to predict the stock return using linear regression
"jzhu_set_tail_exposure(alpha, beta, exposure,direction=1)",,,global,jzhu,20210708,This operator sets the maximum / minimum exposure for certain factor to an exact amount
"rbokam_ryadav_uprabhakar_cs_rank_mask(inp, target, lookback, lag, threshold, corr)",,,global,rbokam,20210708,We rank the variable followed by long and short operations on the top and bottom groups. We are only longing the positive predictors of forward biased targets and likewise shorting the negative predictors. Lag (=1) and lookback are used for calculating correlations and threshold is used for NaN masking middle values
"sagarwal91_tpark_NoiseRemoval(input,lookback1,lookback2,exp_factor)",,,global,sagarwal91,20210708,Operator used to remove the noise (decrease std) from the variable or portfolio and thus increase ir
"yunbo39_detrend(input,lookback)",,,global,yunbo39,20210708,Operator used to detrend an input variable
"vkashyap_ameshram_jzhang_jzhou_ycai_mrevcorr_v2(var, group_var, corr_mode,bets_mode,thr,corr_lb,normalize,norm_mode,norm_lb,num_groups)",,,global,"vkashyap, jzhou, ameshram, jzhang, ycai",20210719,Operator used to bet on a group's/stock's reversion or momentum conditioned on a correlation measure.
"akaran_MLR(feature,target,universe,days_since_first_trading_day_of_year,rf,lb)",,,global,akaran,20210720,This operator performs multivariate linear regression with multiple input features for a given target for each stock
"tpradhan_ssrivastava_pca_residual(input, cov_window,close,shsout, mktcap_threshold, num_factors, drift)",,,global,"tpradhan, ssrivastava",20210720,Removes the strongest principal components of the input signal and bets on the mean reversion of the residual alpha
"jhuang_pv_kp_ne_mm_double_sort_mode(inp1,inp2,lb=10,sort1='cs',sort2='cs',bins=2)",,,global,"jhuang, mmarinic, pvardhan, nelango52, kprakash",20210720,"This operator double sorts the inputs by binning the values. It first ts or cs sorts based on the first input, and then the sorted values are distributed into a number of buckets or bins. Within each bin, it sorts based on the cs or ts rank of the second input. It can track time series signals which the cs double sort can not."
"pvardhan_kp_ne_mm_jh_ts_regress_bivariate_v1(feature1,feature2,target,lookback=20)",,,global,"pvardhan, mmarinic, jhuang, nelango52, kprakash",20210720,Operator used to bet on predicted target after stock wise bivariate regression 
"ywu_zliu_sliang_hgupta_ts_factorneut(var, fac, days, target_exposure=0.)",,,global,,,Operator used to apply time-series factor neutralization.
"zliu_hgupta_sliang_ywu_momentum_reversion_vix(input,ret_proxy,vix_proxy,lookback)",,,global,"zliu, sliang, hgupta, ywu",20210726,Operator used to decompose the signals to the momentum and reversion part and scale two parts according to the current market volatility
"hgupta_sliang_ywu_zliu_longtermflipper1(inp1, inp2, th, lookback)",,,global,"hgupta, sliang, zliu, ywu",20210728,Operator used to flip an input1 variable based on long term performance of input2 variable.
"sliang_ywu_zliu_hgupta_ts_exposure_condition(var, fac, days, thld)",,,global,"sliang, zliu, hgupta, ywu",20210728,The operator is used to compute time-series factor exposure using cosine similarity. Then masking the input variable with the factor exposure that exceeding the threshold value
"sujayv25_kkumar_pgupta52_szhou_tpradhan_simstocks(features_list, return_var, valids, rebalance_var=None, lb=1)",,,global,"sujayv25, szhou, kkumar, tpradhan, pgupta52",20210728,Operator used to calculate average return weighted by the inverse of the pairwise euclidean distance of the input features for lookback window.
